event_index,relative_day,seconds_since_previous,hour_utc,weekday_utc,video_id,track_title,channel_name,in_music_library
35,0,12,16,Thursday,OirisOt-7Gk,How Does It Feel?,Citizen - Topic,False
36,0,6,16,Thursday,MxEjnYdfLXU,I Wonder,Kanye West - Topic,False
37,0,2040,17,Thursday,WYT4gMDHYZw,Walkin,Denzel Curry - Topic,False
38,0,1,17,Thursday,DUO_uZ_qbss,Champagne Poetry,Drake - Topic,False
39,0,1,17,Thursday,rNB5eIiIsUc,Hoe Cakes,MF Doom - Topic,False
40,0,3,17,Thursday,DSYfhTY7lEw,Green Twins,Nick Hakim - Topic,False
41,0,1,17,Thursday,MZ7okaUoqHs,WHARF TALK,"Tyler, The Creator - Topic",False
42,0,1,17,Thursday,J87pJrxvJ5E,PRIDE.,Kendrick Lamar - Topic,False
43,0,1,17,Thursday,AlR5pgNYMYE,Curry Chicken,Joey Bada$$ - Topic,False
44,0,1,17,Thursday,y_bBWlJdog4,4:44,JAY-Z - Topic,False
45,0,1,17,Thursday,-grPV-Fae6I,Not Afraid,Eminem - Topic,False
46,0,1,17,Thursday,Zbnv6sSFksc,Apparently,J. Cole - Topic,False
47,0,1,17,Thursday,Btlyh9mEWnc,Kiwi (feat. Juice),Quarters - Topic,False
48,0,2,17,Thursday,yhohHPdPczQ,MY EYES,Travis Scott - Topic,False
49,0,2,17,Thursday,xsmWMgshyBw,The Show Goes On,Lupe Fiasco - Topic,False
50,0,1,17,Thursday,e-BkS3d95ns,Day 'n' Nite,Kid Cudi - Topic,False
51,0,1,17,Thursday,WLNp0g2GBxQ,Coming Home,Diddy - Dirty Money - Topic,False
52,0,1,17,Thursday,tnVAEAo7nvA,Les,Childish Gambino - Topic,False
53,0,1,17,Thursday,tEXYfT_G0W0,"New Person, Same Old Mistakes",Tame Impala - Topic,True
54,0,1,17,Thursday,VGdWhqGIdh8,Borderline,Brad Sucks - Topic,False
55,0,1,17,Thursday,5bYHCWAaVDk,Make It Forever,George Clanton - Topic,False
56,0,1,17,Thursday,yMoiFhzhctY,Knees,Injury Reserve - Topic,False
57,0,1,17,Thursday,Jx_O6PHdWww,Hey Ya!,OutKast - Topic,False
58,0,235,17,Thursday,LWN0vQpwcKM,Fazers,King Geedorah - Topic,False
59,0,197,17,Thursday,jJcd806j7sM,TABOO | TA13OO,Denzel Curry - Topic,False
60,0,8,17,Thursday,ueWWNDG13Ts,Just A Dream,Nelly - Topic,False
61,0,1,17,Thursday,x2PvGMWlSpg,LIGHT IT UP!,xrossover - Topic,False
62,0,1,17,Thursday,pfEZW-1eDl8,Airplanes (feat. Hayley Williams of Paramore),B.O.B - Topic,False
63,0,1,17,Thursday,7ceLw_7ORRw,This Is Moon,filip22 :) - Topic,False
64,0,1,17,Thursday,Fx3b85eDQvw,Nights,Frank Ocean - Topic,False
65,0,144,17,Thursday,2oQ1VKtc1Yk,Dead Presidents lll,Logic - Topic,False
66,0,283,17,Thursday,4pTEdjpcJXk,Chandelier,Will Paquin - Topic,False
67,0,127,17,Thursday,0MATV0a9yiw,Eraser,✝✝✝ (Crosses) - Topic,False
68,0,137,17,Thursday,WySekulZAoY,Do Ya Like Vs Resonance (Mashup),Splice Records - Topic,False
69,0,218,17,Thursday,reULBFzDRi8,Take Me There,Trip Lee - Topic,False
70,0,228,17,Thursday,q_00JvvTuEU,Don't Wanna Fall In Love,KYLE - Topic,False
71,0,201,17,Thursday,ArPxrZwFK5M,Deadman's Wonderland,Trippie Redd - Topic,False
72,0,237,17,Thursday,_GWKkqNoyEA,Counting Stars,OneRepublic - Topic,False
73,1,84026,16,Friday,dMAGiSGJNPk,midnight vice city,WisdomBeatz - Topic,False
74,1,198,16,Friday,iB3utBtljMw,Mindset Blind,Gelion Lotres - Topic,False
75,1,251,17,Friday,Cc56wcQZ5Og,playboi carti & gunna - no time﹝slowed + reverb﹞,Chovies,False
76,1,155,17,Friday,Q--Wk-5sXDA,Tell Em,Cochise - Topic,False
77,1,1,17,Friday,oetfu7omm28,Watch This (ARIZONATEARS Pluggnb Remix),Lil Uzi Vert - Topic,False
78,1,4,17,Friday,yfdnTqn7yLs,I Say When We're Done,nikomanjiro - Topic,False
79,1,250,17,Friday,nbfFzs-dW3U,Stardust,MrHeadA$$Trendy - Topic,False
80,1,351,17,Friday,JXULdmwC5Us,4am freestyle,WisdomBeatz - Topic,False
81,1,238,17,Friday,ky2eToQg3bQ,Romantic,ADTurnUp - Topic,False
82,1,81,17,Friday,ocLqPPp5jl0,https://music.youtube.com/watch?v=ocLqPPp5jl0,,False
83,1,2,17,Friday,-pOxiz0MYIc,Hell Shell,Young Nudy - Topic,False
84,1,104,17,Friday,x1gR4Tr3E9g,More Than Ever,CHASETHEMONEY - Topic,False
85,1,101,17,Friday,WnxYoYBhyWA,Do You Want,LUCKI - Topic,True
86,1,2,17,Friday,tkPoOvVnbRk,Long Time (Intro),Playboi Carti - Topic,False
87,3,184778,20,Sunday,aXm_pHSh_O0,"Theo Von   only thing i won, was being alone",Stivion,False
88,3,95,20,Sunday,W2X0Gf9jfz8,Thunder Road,Bruce Springsteen - Topic,False
89,3,4,20,Sunday,8m81yTxQOe8,https://music.youtube.com/watch?v=8m81yTxQOe8,,False
90,3,487,20,Sunday,NNDXQwVAez8,gigi masin x voicemail - call me [𝚜𝚕𝚘𝚠𝚎𝚍 + 𝚛𝚎𝚟𝚎𝚛𝚋 + 𝚒𝚗𝚜𝚝𝚛𝚞𝚖𝚎𝚗𝚝𝚊𝚕],eoqb,False
91,3,90,20,Sunday,3hQVOclo_Io,grouper - poison tree (slowed),Antrikter,False
92,8,466282,6,Saturday,nbfFzs-dW3U,Stardust,MrHeadA$$Trendy - Topic,False
93,19,909245,19,Tuesday,D0vWiR9RD6w,Track 6,Lexcorp,False
94,19,161,19,Tuesday,Lzc4nzYZEHg,ATH (remix),Lexcorp,False
95,19,213,19,Tuesday,b0q5PR1xpA0,LEMMiNO - Cipher (BGM),LEMMiNO Music,False
96,19,197,19,Tuesday,XDpoBc8t6gE,kudasaibeats - the girl i haven't met,Ikigai,False
97,19,196,19,Tuesday,hC8CH0Z3L54,FKJ & Masego - Tadow,Fkj,False
98,25,505741,15,Monday,WFLGrpGemLg,Get You (feat. Kali Uchis),Daniel Caesar - Topic,False
99,25,5,15,Monday,-hQ5yilFxhw,SZA - Good Days (Instrumental) [2 hours],YAYY,False
100,376,30336996,18,Tuesday,05nBBznI9V0,Talk to Her,The Marías - Topic,False
101,376,328,18,Tuesday,uNCGM7FJ8wQ,Alpha,Daniel Rosenfeld - Topic,True
102,376,1971,19,Tuesday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
103,376,91,19,Tuesday,qYcoJpqCha4,aruarian dance,Nujabes - Topic,True
104,376,251,19,Tuesday,uVsid59MkDs,Intro,J. Cole - Topic,False
105,376,129,19,Tuesday,eImirstTOyE,Uber Everywhere,MadeinTYO - Topic,False
106,376,153,19,Tuesday,s-oH-edxk-0,Tay-K - Everywhere I Go,Tay-K,False
107,376,127,19,Tuesday,-6TdRiNnP9Q,BE RIGHT BACK,Glokk40Spaz - Topic,False
108,376,169,19,Tuesday,QuIQ23b6V_I,"Sing About Me, Im Dying of Thirst (Tyler the creator remix)",Bleach,False
109,376,432,19,Tuesday,mcrf0-fIZhY,https://music.youtube.com/watch?v=mcrf0-fIZhY,,False
110,376,240,19,Tuesday,Ah9Lb14B4PA,Tobey,Eminem - Topic,False
111,376,286,19,Tuesday,3WCsEhzduuk,Unknown T x Orchestra (Extended + Loop),Chenson Lee,False
112,376,453,19,Tuesday,Q6nu9-J-DH0,Jujutsu Kaisen: Gojo vs Toji (Riko in the Aquarium) Theme | EPIC 1 HOUR VERSION,Paul Drew Music,False
113,383,591883,16,Tuesday,05nBBznI9V0,Talk to Her,The Marías - Topic,False
114,383,2,16,Tuesday,uNCGM7FJ8wQ,Alpha,Daniel Rosenfeld - Topic,True
115,383,607,16,Tuesday,YnsiyiC0Nc0,Pinegrove - Aphasia - Audiotree Live (8 of 8),Audiotree,False
116,383,494,16,Tuesday,qYcoJpqCha4,aruarian dance,Nujabes - Topic,True
117,383,4585,17,Tuesday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
118,383,22,17,Tuesday,s1F7CVT0I7E,010 (edit),Lexcorp,False
119,383,74,17,Tuesday,4BzWL4pHm78,American Palace,Lexcorp,False
120,383,34,17,Tuesday,M4eQ1F3jBa8,1700,Lexcorp,False
121,383,22,17,Tuesday,D0vWiR9RD6w,Track 6,Lexcorp,False
122,383,24,18,Tuesday,8cQB1hlfDRk,Track 7,Lexcorp,False
123,383,13,18,Tuesday,eERxMmksUDY,Track 8,Lexcorp,False
124,383,124,18,Tuesday,rVHnfYAACgA,Your Obituary,1791,False
125,384,85171,17,Wednesday,rVHnfYAACgA,Your Obituary,1791,False
126,384,612,17,Wednesday,M4eQ1F3jBa8,1700,Lexcorp,False
127,384,77,17,Wednesday,D0vWiR9RD6w,Track 6,Lexcorp,False
128,384,5029,19,Wednesday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
129,384,23,19,Wednesday,s1F7CVT0I7E,010 (edit),Lexcorp,False
130,384,1873,19,Wednesday,8cQB1hlfDRk,Track 7,Lexcorp,False
131,384,11,19,Wednesday,eERxMmksUDY,Track 8,Lexcorp,False
132,384,2,19,Wednesday,3tJ_PV_9ETo,Track 10,Lexcorp,False
133,384,898,20,Wednesday,4BzWL4pHm78,American Palace,Lexcorp,False
134,386,194757,2,Saturday,uNCGM7FJ8wQ,Alpha,Daniel Rosenfeld - Topic,True
135,391,414541,21,Wednesday,uNCGM7FJ8wQ,Alpha,Daniel Rosenfeld - Topic,True
136,391,935,21,Wednesday,3tJ_PV_9ETo,Track 10,Lexcorp,False
137,391,214,21,Wednesday,rVHnfYAACgA,Your Obituary,1791,False
138,391,279,21,Wednesday,M4eQ1F3jBa8,1700,Lexcorp,False
139,391,1639,22,Wednesday,eERxMmksUDY,Track 8,Lexcorp,False
140,391,2476,22,Wednesday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
141,392,86368,22,Thursday,uNCGM7FJ8wQ,Alpha,Daniel Rosenfeld - Topic,True
142,392,603,23,Thursday,FMJoOTOBcwE,Aerie,Lena Raine - Topic,True
143,392,297,23,Thursday,W9p-yVwF71o,Space,Andrew Prahlow - Topic,False
144,392,255,23,Thursday,EookC5tOhxE,Clark,Daniel Rosenfeld - Topic,False
145,392,192,23,Thursday,YkI-AOjFXYM,Nocturne,Trevor Kowalski - Topic,False
146,392,206,23,Thursday,DXLe3uErFNM,Zelda's Lullaby (The Legend of Zelda: Ocarina of Time),MajorLink - Topic,False
147,395,244184,19,Sunday,WmYTrtu-25A,Shuniji,Daniel Rosenfeld - Topic,False
148,395,1158,19,Sunday,v01q01LbWzI,The Pixies - Where Is My Mind (Retrowave Cover Long Version),The Motion,False
149,395,2579,20,Sunday,s1F7CVT0I7E,010 (edit),Lexcorp,False
150,395,91,20,Sunday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
151,395,91,20,Sunday,4BzWL4pHm78,American Palace,Lexcorp,False
152,395,128,20,Sunday,M4eQ1F3jBa8,1700,Lexcorp,False
153,395,125,20,Sunday,D0vWiR9RD6w,Track 6,Lexcorp,False
154,395,160,20,Sunday,8cQB1hlfDRk,Track 7,Lexcorp,False
155,395,114,20,Sunday,eERxMmksUDY,Track 8,Lexcorp,False
156,395,124,20,Sunday,3tJ_PV_9ETo,Track 10,Lexcorp,False
157,395,122,20,Sunday,rVHnfYAACgA,Your Obituary,1791,False
158,395,10759,23,Sunday,kZmZ-DvGXvM,playboi carti - @ meh (banakula & llusion remix) (slowed + reverb),slerb,False
159,395,173,23,Sunday,_i1wNr2gEVo,travis scott ~ astrothunder ﾉ slowed + reverb ﾉ,rum world,False
160,395,471,23,Sunday,DmH0ECtSjRs,4422,Drake - Topic,False
161,395,361,23,Sunday,x4JNfW3y0h0,FRANK OCEAN - PINK + WHITE  ( s l o w e d   +   r e v e r b ),GIULIANO,False
162,395,14,23,Sunday,blcSLo3yecs,Lil Tecca - Ransom (slowed+reverb),KAYX,False
163,395,5,23,Sunday,wT2OQwiC08Y,Hotel Ugly - Shut Up My Moms Calling (Slowed + Reverb),• Gandhiswag •,False
164,395,3,23,Sunday,SwgH7YXkWWk,j. cole ~ no role modelz ﾉ slowed + reverb ﾉ,rum world,False
165,395,15492,3,Monday,uNCGM7FJ8wQ,Alpha,Daniel Rosenfeld - Topic,True
166,409,1195775,0,Monday,4BzWL4pHm78,American Palace,Lexcorp,False
167,409,128,0,Monday,M4eQ1F3jBa8,1700,Lexcorp,False
168,409,125,0,Monday,D0vWiR9RD6w,Track 6,Lexcorp,False
169,409,398,0,Monday,3tJ_PV_9ETo,Track 10,Lexcorp,False
170,409,1943,0,Monday,s1F7CVT0I7E,010 (edit),Lexcorp,False
171,409,426,0,Monday,8cQB1hlfDRk,Track 7,Lexcorp,False
172,409,115,1,Monday,rVHnfYAACgA,Your Obituary,1791,False
173,409,53,1,Monday,eERxMmksUDY,Track 8,Lexcorp,False
174,409,4581,2,Monday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
175,410,64306,20,Monday,8cQB1hlfDRk,Track 7,Lexcorp,False
176,410,114,20,Monday,rVHnfYAACgA,Your Obituary,1791,False
177,410,156,20,Monday,eERxMmksUDY,Track 8,Lexcorp,False
178,410,124,20,Monday,D0vWiR9RD6w,Track 6,Lexcorp,False
179,410,160,20,Monday,3tJ_PV_9ETo,Track 10,Lexcorp,False
180,410,122,20,Monday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
181,410,91,20,Monday,4BzWL4pHm78,American Palace,Lexcorp,False
182,410,128,20,Monday,M4eQ1F3jBa8,1700,Lexcorp,False
183,410,125,20,Monday,s1F7CVT0I7E,010 (edit),Lexcorp,False
184,412,177567,21,Wednesday,8TLR-TTXDY8,Quantum Mechanics,Ludwig Göransson - Topic,False
185,412,180,21,Wednesday,k79dMVVmvA8,Comforting Memories,Kumi Tanioka - Topic,False
186,412,1894,22,Wednesday,904fP4orPYM,Environments,Berlinist - Topic,False
187,412,381,22,Wednesday,GKiz8SvAqsY,Undertale - His Theme (Orchestral Cover),Osirois Music,False
188,412,908,22,Wednesday,YkI-AOjFXYM,Nocturne,Trevor Kowalski - Topic,False
189,412,206,22,Wednesday,TaXlw0OmSOg,Bromeliad,Aaron Cherof - Topic,False
190,412,839,22,Wednesday,cp1MDuIsLxk,deep dreams,Insensible - Topic,False
191,412,181,23,Wednesday,z34enKCqRGk,Travelers,Andrew Prahlow - Topic,False
192,412,520,23,Wednesday,y-f8pEX1Q1M,Infinite Amethyst,Lena Raine - Topic,False
193,412,272,23,Wednesday,-jcSBCqNlyY,Loneliness,Epic Mountain - Topic,False
194,412,1498,23,Wednesday,FnPmIrdOkcU,Aria Math (Handpan Version),Atakan Teoman - Topic,True
195,412,5,23,Wednesday,j_CSglLbGns,This Time Is Different,Lifeformed - Topic,True
196,412,197,23,Wednesday,6r-e3YGINuc,Dramamine (Slowed),Killswitch Memories - Topic,True
197,412,252,23,Wednesday,p0UTjSiXNp0,Quiet and Falling,Lena Raine - Topic,True
198,412,449,23,Wednesday,uNCGM7FJ8wQ,Alpha,Daniel Rosenfeld - Topic,True
199,412,603,0,Thursday,qYcoJpqCha4,aruarian dance,Nujabes - Topic,True
200,412,250,0,Thursday,Kj0PXA2gfM4,Furthest Thing,Drake - Topic,True
201,412,269,0,Thursday,kstlaTn9UWw,Baby Shea,Ovlov - Topic,True
202,412,96,0,Thursday,Aq-7_BxOYoM,one Note Plant,GONTITI - Topic,True
203,412,245,0,Thursday,VF-VjxEB81U,L'amore dice ciao (Slow Take),Armando Trovajoli - Topic,True
204,412,258,0,Thursday,WnxYoYBhyWA,Do You Want,LUCKI - Topic,True
205,412,136,0,Thursday,4tBSDdcEJos,Undress,Pretty Sick - Topic,True
206,412,464,0,Thursday,D7DVSZ_poHk,Swing Lynn,Harmless - Topic,True
207,412,322,0,Thursday,oIdWMXOF7io,Bell Jar,SOLOS - Topic,True
208,412,147,0,Thursday,8znhxYaYEXY,Float Away,The Grinns - Topic,True
209,412,159,0,Thursday,jcYvDZKLQJ0,Me and the Birds,duster - Topic,True
210,412,96,0,Thursday,YifOMt9dlGk,Eventually,Tame Impala - Topic,True
211,412,320,0,Thursday,KOIEo_74L-Q,Aria Math,Daniel Rosenfeld - Topic,True
212,412,309,0,Thursday,DKhp_CO0s6A,Deep In Yr Mind,James Wyatt Crosby - Topic,True
213,412,36,0,Thursday,tEXYfT_G0W0,"New Person, Same Old Mistakes",Tame Impala - Topic,True
214,412,3,0,Thursday,15WnsPS0Z5o,Cherryade,The Sukis - Topic,True
215,412,11,0,Thursday,kZmZ-DvGXvM,playboi carti - @ meh (banakula & llusion remix) (slowed + reverb),slerb,False
216,412,2064,1,Thursday,YqfbDisiAQo,Groves,Ludwig Göransson - Topic,True
217,412,185,1,Thursday,exvt4dzmuaI,Resonance,Home - Topic,False
218,415,239117,20,Saturday,0qlvKgm-WXM,F Song,Strawberry Guy - Topic,True
219,415,3269,20,Saturday,XU8rNrTnIUE,Emile Mosseri - Jacob and the Stone [𝙨𝙡𝙤𝙬𝙚𝙙 + 𝙧𝙚𝙫𝙚𝙧𝙗 + 𝙚𝙭𝙩𝙚𝙣𝙙𝙚𝙙],Hendo,False
220,415,4165,22,Saturday,q86g1aop6a8,Aphex Twin - Stone In Focus,Jack Assir,False
221,419,329714,17,Wednesday,q86g1aop6a8,Aphex Twin - Stone In Focus,Jack Assir,False
222,419,107,17,Wednesday,4BzWL4pHm78,American Palace,Lexcorp,False
223,419,35,17,Wednesday,TKHjJnEaVrQ,Brown Noise for Sleep,Sounds For Life - Topic,False
224,419,13699,21,Wednesday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
225,419,26825,4,Thursday,vx7S3v7u7jY,Fission,Ludwig Göransson - Topic,True
226,420,58513,21,Thursday,8TLR-TTXDY8,Quantum Mechanics,Ludwig Göransson - Topic,False
227,420,180,21,Thursday,F4Q3O5z7bR8,Opening,Bryce Dessner - Topic,False
228,420,19316,2,Friday,O3no-kL6loY,"catching flies - satisfied (slowed + reverb, paul stretched)",drown in fog,False
229,420,432,2,Friday,UeSDvg5xsWI,Flawed Mangoes - Dramamine (Visualizer),Flawed Mangoes,False
230,420,49,2,Friday,s1F7CVT0I7E,010 (edit),Lexcorp,False
231,420,90,2,Friday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
232,420,91,2,Friday,4BzWL4pHm78,American Palace,Lexcorp,False
233,420,128,2,Friday,M4eQ1F3jBa8,1700,Lexcorp,False
234,420,125,2,Friday,D0vWiR9RD6w,Track 6,Lexcorp,False
235,420,160,2,Friday,8cQB1hlfDRk,Track 7,Lexcorp,False
236,420,114,2,Friday,eERxMmksUDY,Track 8,Lexcorp,False
237,420,124,2,Friday,3tJ_PV_9ETo,Track 10,Lexcorp,False
238,420,122,3,Friday,rVHnfYAACgA,Your Obituary,1791,False
239,420,1399,3,Friday,vx7S3v7u7jY,Fission,Ludwig Göransson - Topic,True
240,420,280,3,Friday,-yNHlKAzyVA,Flim,Aphex Twin - Topic,False
241,420,177,3,Friday,qw4eLkj1Fzs,Not Alone,Ólafur Arnalds - Topic,False
242,420,196,3,Friday,mtAWk7nZcPA,Can You Hear The Music (From 'Oppenheimer'),Baltic House Orchestra - Topic,False
243,420,209,3,Friday,v2m9J8Z110I,Everything In Its Right Place (Instrumental),SAD - Topic,False
244,420,267,3,Friday,iz8CFSNmfss,being loved isn't the same as being understood,Vines - Topic,False
245,420,178,3,Friday,Ggddxkj8tU0,The Girl I Haven't Met,Kudasaibeats - Topic,False
246,420,195,3,Friday,_3ngiSxVCBs,Sweden,Daniel Rosenfeld - Topic,False
247,420,216,3,Friday,9ytiyD_QA2s,magic,Medasin - Topic,True
248,420,357,3,Friday,OkqOmWyb2Ac,IZ-US,Aphex Twin - Topic,True
249,420,177,4,Friday,b0d8sSmZqzs,Trinity,Ludwig Göransson - Topic,True
250,420,473,4,Friday,66SIhKcVIsg,Help Me Out,Alicks - Topic,False
251,420,21,4,Friday,XU8rNrTnIUE,Emile Mosseri - Jacob and the Stone [𝙨𝙡𝙤𝙬𝙚𝙙 + 𝙧𝙚𝙫𝙚𝙧𝙗 + 𝙚𝙭𝙩𝙚𝙣𝙙𝙚𝙙],Hendo,False
252,420,4,4,Friday,q86g1aop6a8,Aphex Twin - Stone In Focus,Jack Assir,False
253,420,612,4,Friday,-64qq6rThDE,Roof Cave Down,Release - Topic,True
254,420,153,4,Friday,6r-e3YGINuc,Dramamine (Slowed),Killswitch Memories - Topic,True
255,420,250,4,Friday,p0UTjSiXNp0,Quiet and Falling,Lena Raine - Topic,True
256,420,448,4,Friday,VMxmWWUxx48,Oppenheimer - Trinity [1 Hour] (Piano Part Only Looped),Anzen Beats,False
257,420,950,4,Friday,05nBBznI9V0,Talk to Her,The Marías - Topic,False
258,420,328,4,Friday,uNCGM7FJ8wQ,Alpha,Daniel Rosenfeld - Topic,True
259,420,59,4,Friday,99B63a5xPno,alpha by c418 except it's the perfect end to a decade,AquaSkye,False
260,420,1062,5,Friday,uNCGM7FJ8wQ,Alpha,Daniel Rosenfeld - Topic,True
261,420,631,5,Friday,99B63a5xPno,alpha by c418 except it's the perfect end to a decade,AquaSkye,False
262,420,734,5,Friday,05nBBznI9V0,Talk to Her,The Marías - Topic,False
263,423,291511,14,Monday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
264,423,91,14,Monday,vx7S3v7u7jY,Fission,Ludwig Göransson - Topic,True
265,424,279,14,Monday,uNCGM7FJ8wQ,Alpha,Daniel Rosenfeld - Topic,True
266,424,603,14,Monday,99B63a5xPno,alpha by c418 except it's the perfect end to a decade,AquaSkye,False
267,424,1181,15,Monday,TKHjJnEaVrQ,Brown Noise for Sleep,Sounds For Life - Topic,False
268,424,2625,15,Monday,6r-e3YGINuc,Dramamine (Slowed),Killswitch Memories - Topic,True
269,424,250,16,Monday,05nBBznI9V0,Talk to Her,The Marías - Topic,False
270,424,327,16,Monday,j_CSglLbGns,This Time Is Different,Lifeformed - Topic,True
271,424,196,16,Monday,rVHnfYAACgA,Your Obituary,1791,False
272,424,156,16,Monday,OkqOmWyb2Ac,IZ-US,Aphex Twin - Topic,True
273,424,178,16,Monday,YqfbDisiAQo,Groves,Ludwig Göransson - Topic,True
274,424,183,16,Monday,b0d8sSmZqzs,Trinity,Ludwig Göransson - Topic,True
275,424,473,16,Monday,O3no-kL6loY,"catching flies - satisfied (slowed + reverb, paul stretched)",drown in fog,False
276,424,6618,18,Monday,q86g1aop6a8,Aphex Twin - Stone In Focus,Jack Assir,False
277,424,611,18,Monday,p0UTjSiXNp0,Quiet and Falling,Lena Raine - Topic,True
278,424,16216,22,Monday,s1F7CVT0I7E,010 (edit),Lexcorp,False
279,426,185591,2,Thursday,q86g1aop6a8,Aphex Twin - Stone In Focus,Jack Assir,False
280,426,611,2,Thursday,p0UTjSiXNp0,Quiet and Falling,Lena Raine - Topic,True
281,426,448,2,Thursday,vx7S3v7u7jY,Fission,Ludwig Göransson - Topic,True
282,426,279,2,Thursday,mtAWk7nZcPA,Can You Hear The Music (From 'Oppenheimer'),Baltic House Orchestra - Topic,False
283,426,119,2,Thursday,s1F7CVT0I7E,010 (edit),Lexcorp,False
284,426,91,2,Thursday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
285,426,91,2,Thursday,4BzWL4pHm78,American Palace,Lexcorp,False
286,426,128,2,Thursday,M4eQ1F3jBa8,1700,Lexcorp,False
287,426,125,3,Thursday,D0vWiR9RD6w,Track 6,Lexcorp,False
288,426,160,3,Thursday,8cQB1hlfDRk,Track 7,Lexcorp,False
289,426,114,3,Thursday,eERxMmksUDY,Track 8,Lexcorp,False
290,426,124,3,Thursday,3tJ_PV_9ETo,Track 10,Lexcorp,False
291,426,1537,3,Thursday,rVHnfYAACgA,Your Obituary,1791,False
292,426,34452,13,Thursday,3wj2FT4qzsM,dream pad edit,Lexcorp,False
293,426,91,13,Thursday,4BzWL4pHm78,American Palace,Lexcorp,False
294,426,128,13,Thursday,M4eQ1F3jBa8,1700,Lexcorp,False
295,426,124,13,Thursday,D0vWiR9RD6w,Track 6,Lexcorp,False
296,426,160,13,Thursday,8cQB1hlfDRk,Track 7,Lexcorp,False
297,426,115,13,Thursday,eERxMmksUDY,Track 8,Lexcorp,False
298,426,124,13,Thursday,3tJ_PV_9ETo,Track 10,Lexcorp,False
